Ano,Mes,Dia,Ação,C. Amarelo,C. Vermelho,Adversário,Competição,Time,PLACAR,Resultado
2018,03,10,2 Gol(s),0,0,Eibar,La Liga (Espanha),Real Madrid,1-2,Vitória
2018,03,06,1 Gol(s) / 1 Assist.,0,0,PSG,Champions League,Real Madrid,1-2,Vitória
2018,03,03,2 Gol(s),0,0,Getafe,La Liga (Espanha),Real Madrid,3-1,Vitória
2018,02,24,2 Gol(s),0,0,Alavés,La Liga (Espanha),Real Madrid,4-0,Vitória
2018,02,18,1 Gol(s),0,0,Real Betis,La Liga (Espanha),Real Madrid,3-5,Vitória
2018,02,14,2 Gol(s),0,0,PSG,Champions League,Real Madrid,3-1,Vitória
2018,02,10,3 Gol(s) / 1 Assist.,0,0,Real Sociedad,La Liga (Espanha),Real Madrid,5-2,Vitória
2018,02,03,Nenhuma,0,0,Levante,La Liga (Espanha),Real Madrid,2-2,Empate
2018,01,27,2 Gol(s),0,0,Valencia,La Liga (Espanha),Real Madrid,1-4,Vitória
2018,01,21,2 Gol(s) / 1 Assist.,0,0,Deportivo,La Liga (Espanha),Real Madrid,7-1,Vitória
2018,01,13,Nenhuma,0,0,Villarreal,La Liga (Espanha),Real Madrid,0-1,Derrota
2018,01,07,Nenhuma,0,0,Celta de Vigo,La Liga (Espanha),Real Madrid,2-2,Empate
